"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
2014/15 Application Cycle",,,,,,,,
Data Element and Value,Initial Application,,,,,,,Final Transaction
,2014,,,,2015,,Total,Total
,Q1,Q2,Q3,Q4,Q5,Q6+,,
Total (Applicant Count),"8,826,585","5,396,213","3,602,483","1,426,465","874,653","435,530","20,561,929","20,561,929"
Gender,,,,,,,,
Female,"5,366,790","3,291,245","2,114,235","849,822","516,245","265,608","12,403,945","12,420,920"
Male,"3,438,028","2,086,898","1,472,528","568,382","351,667","164,080","8,081,583","8,082,042"
Blank,"21,767","18,070","15,720","8,261","6,741","5,842","76,401","58,967"
Age,,,,,,,,
18 or Less,"1,215,724","315,234","179,142","127,621","77,347","53,896","1,968,964","1,969,120"
19 through 24,"4,748,786","2,546,904","1,555,675","479,785","265,683","114,268","9,711,101","9,712,387"
25 or Greater,"2,862,075","2,534,075","1,867,666","819,059","531,623","267,366","8,881,864","8,880,422"
Grade Entering,,,,,,,,
"1st Year, Never Attended College Before","2,200,622","999,728","814,020","468,710","296,709","165,531","4,945,320","4,946,994"
"1st Year, Attended College Before","1,153,600","1,049,439","856,761","397,313","253,302","122,443","3,832,858","3,944,516"
2nd Year/Sophomore,"1,799,794","1,101,459","627,115","160,233","88,715","37,060","3,814,376","3,822,212"
3rd Year/Junior,"1,492,053","826,407","454,664","121,566","67,867","27,572","2,990,129","2,958,305"
4th Year/Senior,"936,852","496,534","251,727","51,580","26,601","10,580","1,773,874","1,782,168"
5th Year/Other Undergraduate,"339,631","235,270","158,693","47,280","27,274","11,798","819,946","816,277"
1st Year Graduate/Professional,"365,641","250,517","160,312","79,656","52,301","28,125","936,552","927,066"
Continuing Graduate/Professional,"538,236","436,655","279,016","99,971","61,793","32,373","1,448,044","1,363,776"
Blank,156,204,175,156,91,48,830,615
Degree Pursuing,,,,,,,,
1st Bachelor's Degree,"5,106,770","2,260,217","1,259,935","433,111","259,519","120,571","9,440,123","9,400,511"
2nd Bachelor's Degree,"75,976","59,315","41,140","20,095","11,009","5,126","212,661","209,213"
Associate Degree (Occupational or Technical),"938,238","879,509","645,763","273,560","163,037","84,864","2,984,971","2,996,118"
Associate Degree (General Education or Transfer),"984,221","772,955","589,028","214,645","121,119","56,776","2,738,744","2,768,478"
Certificate or Diploma (Less than 2 Years),"247,100","362,935","317,170","164,458","136,043","74,273","1,301,979","1,375,268"
Certificate or Diploma (At Least 2 Years),"122,295","113,877","92,253","39,143","21,505","10,909","399,982","400,158"
Teaching Credential (Nondegree),"23,343","18,245","16,954","7,950","5,374","3,060","74,926","72,901"
Graduate or Professional Degree,"890,607","637,783","386,381","148,534","93,520","49,437","2,206,262","2,197,839"
Other/Undecided,"414,906","272,821","235,932","114,295","57,635","27,218","1,122,807","1,067,159"
Blank,"23,129","18,556","17,927","10,674","5,892","3,296","79,474","74,284"
Parent Education Level,,,,,,,,
Neither Parent Completed College or Beyond,"4,085,288","2,713,266","1,937,054","810,591","509,981","258,462","10,314,642","10,317,053"
One Parent Completed College or Beyond,"2,392,533","1,467,690","957,935","361,147","212,580","104,516","5,496,401","5,494,521"
Both Parents Completed College or Beyond,"2,348,764","1,215,257","707,494","254,727","152,092","72,552","4,750,886","4,750,355"
Pell Eligibility Status,,,,,,,,
Pell Eligible,"4,721,647","3,101,625","2,146,837","850,605","526,992","265,566","11,613,272","12,324,941"
Pell Ineligible,"4,104,938","2,294,588","1,455,646","575,860","347,661","169,964","8,948,657","8,236,988"
Dependency Status,,,,,,,,
Dependent,"4,967,028","2,135,598","1,198,307","365,374","204,466","95,296","8,966,069","9,022,795"
Independent,"3,859,557","3,260,615","2,404,176","1,061,091","670,187","340,234","11,595,860","11,539,134"
Renewal Application Status,,,,,,,,
Original,"3,693,276","2,344,683","1,962,556","1,077,903","711,730","376,406","10,166,554",N/A
Renewal,"5,133,309","3,051,530","1,639,927","348,562","162,923","59,124","10,395,375",N/A
Source of Application/Correction,,,,,,,,
FAFSA on the Web (FOTW),"8,806,314","5,348,241","3,554,898","1,404,429","855,225","424,266","20,393,373","17,285,449"
Web Financial Aid Administrator (Web FAA),"10,878","32,238","34,107","14,745","13,782","8,609","114,359","891,316"
Other Electronic (School Batch),"1,323","6,880","6,958","3,342","3,018","1,390","22,911","2,282,337"
Paper FAFSA,"7,717","8,562","6,214","3,843","2,574","1,252","30,162","80,922"
FAFSA on the Phone/FSAIC Correction,353,292,306,106,54,13,"1,124","21,905"
Schools Listed,,,,,,,,
Freshmen Filing Original Application: 1 School ,"1,109,659","1,052,884","1,023,062","578,048","412,089","233,718","4,409,460","4,377,365"
Freshmen Filing Original Application: 2 Schools ,"308,638","140,877","97,046","59,278","29,562","13,331","648,732","775,797"
Freshmen Filing Original Application: 3 Schools ,"232,450","67,960","43,785","30,177","14,634","5,236","394,242","405,552"
Freshmen Filing Original Application: 4 Schools ,"186,591","38,433","22,989","18,460","8,087","2,576","277,136","270,003"
Freshmen Filing Original Application: 5 Schools ,"140,918","22,464","13,117","12,132","4,908","1,413","194,952","188,998"
Freshmen Filing Original Application: 6 Schools ,"109,721","14,589","8,427","8,367","3,377",849,"145,330","139,422"
Freshmen Filing Original Application: 7 Schools ,"80,572","8,710","5,576","5,749","2,329",549,"103,485","100,730"
Freshmen Filing Original Application: 8 Schools ,"66,511","6,019","3,967","4,342","1,642",425,"82,906","80,601"
Freshmen Filing Original Application: 9 Schools ,"52,423","4,758","3,167","3,463","1,325",286,"65,422","66,411"
Freshmen Filing Original Application: 10 Schools ,"122,281","7,877","5,773","7,412","2,123",448,"145,914","124,840"
Not Freshmen Filing Original Application: 1 School ,"5,247,026","3,437,347","2,063,704","583,301","342,731","156,875","11,830,984","11,289,877"
Not Freshmen Filing Original Application: 2 Schools ,"556,673","326,984","173,310","58,843","28,023","11,274","1,155,107","1,485,902"
Not Freshmen Filing Original Application: 3 Schools ,"233,694","119,236","62,489","23,636","10,479","3,993","453,527","534,728"
Not Freshmen Filing Original Application: 4 Schools ,"132,922","59,310","30,553","12,304","5,237","1,939","242,265","272,966"
Not Freshmen Filing Original Application: 5 Schools ,"82,046","33,076","16,792","7,200","2,880",995,"142,989","157,370"
Not Freshmen Filing Original Application: 6 Schools ,"51,861","19,093","9,729","4,403","1,787",533,"87,406","96,612"
Not Freshmen Filing Original Application: 7 Schools ,"34,488","12,183","6,150","2,858","1,131",379,"57,189","63,051"
Not Freshmen Filing Original Application: 8 Schools ,"24,148","8,256","4,195","2,102",771,255,"39,727","43,823"
Not Freshmen Filing Original Application: 9 Schools ,"18,918","6,313","3,385","1,511",631,195,"30,953","34,415"
Not Freshmen Filing Original Application: 10 Schools ,"35,045","9,844","5,267","2,879",907,261,"54,203","53,466"
Parent (Dependent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"287,490","150,404","111,028","39,838","24,854","12,686","626,300","669,381"
Will File but Have Not Yet Completed Taxes,"2,501,529","158,038","66,508","8,213","5,286","1,200","2,740,774","676,996"
Already Filed Taxes: IRS Data Not Transferred,"1,572,879","1,052,330","551,531","169,247","94,551","45,791","3,486,329","4,079,590"
Already Filed Taxes: IRS Data Transferred,"535,884","718,781","414,934","122,079","67,669","29,895","1,889,242","3,489,859"
Tax Filing Status Unknown,"69,246","56,045","54,306","25,997","12,106","5,724","223,424","106,969"
Student (Independent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"766,373","519,254","453,896","227,060","146,615","76,829","2,190,027","2,158,176"
Will File but Have Not Yet Completed Taxes,"1,150,257","106,412","56,057","19,775","13,522","4,027","1,350,050","485,837"
