"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
2015/16 Application Cycle",,,,,,,,
Data Element and Value,Initial Application,,,,,,,Final Transaction
,2015,,,,2016,,Total,Total
,Q1,Q2,Q3,Q4,Q5,Q6+,,
Total (Applicant Count),"8,681,436","5,001,114","3,456,193","1,360,716","832,592","425,713","19,757,764","19,757,764"
Gender,,,,,,,,
Female,"5,280,276","3,050,260","2,029,742","820,497","494,181","261,826","11,936,782","11,963,730"
Male,"3,378,128","1,923,019","1,395,750","526,270","327,404","156,278","7,706,849","7,708,027"
Blank,"23,032","27,835","30,701","13,949","11,007","7,609","114,133","86,007"
Age,,,,,,,,
18 or Less,"1,238,394","294,440","170,016","121,047","79,052","55,099","1,958,049","1,958,328"
19 through 24,"4,715,706","2,379,479","1,506,226","450,703","249,992","109,115","9,411,227","9,413,003"
25 or Greater,"2,727,336","2,327,195","1,779,951","788,966","503,548","261,499","8,388,488","8,386,433"
Grade Entering,,,,,,,,
"1st Year, Never Attended College Before","2,202,196","899,692","735,718","426,068","273,861","157,513","4,695,048","4,696,472"
"1st Year, Attended College Before","1,099,829","935,291","801,010","375,584","235,978","117,676","3,565,368","3,677,024"
2nd Year/Sophomore,"1,734,037","1,013,531","611,648","154,391","85,812","36,101","3,635,520","3,652,241"
3rd Year/Junior,"1,482,080","780,334","449,625","119,634","66,041","27,234","2,924,948","2,893,471"
4th Year/Senior,"925,606","469,320","249,094","51,217","27,279","10,994","1,733,510","1,743,923"
5th Year/Other Undergraduate,"339,553","227,029","160,842","47,264","27,723","12,453","814,864","811,913"
1st Year Graduate/Professional,"363,687","243,668","159,693","79,883","52,302","29,489","928,722","917,353"
Continuing Graduate/Professional,"534,358","432,039","288,366","106,543","63,526","34,190","1,459,022","1,364,776"
Blank,90,210,197,132,70,63,762,591
Degree Pursuing,,,,,,,,
1st Bachelor's Degree,"5,107,336","2,145,810","1,235,202","421,504","253,672","121,231","9,284,755","9,250,387"
2nd Bachelor's Degree,"73,460","56,331","40,311","19,762","10,789","5,362","206,015","201,748"
Associate Degree (Occupational or Technical),"862,168","771,263","598,904","249,746","147,097","77,654","2,706,832","2,714,674"
Associate Degree (General Education or Transfer),"971,144","717,248","571,824","202,239","114,525","55,022","2,632,002","2,665,388"
