"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
2016/17 Application Cycle",,,,,,,,
Data Element and Value,Initial Application,,,,,,,Final Transaction
,2016,,,,2017,,Total,Total
,Q1,Q2,Q3,Q4,Q5,Q6+,,
Total (Applicant Count),"8,216,827","4,993,478","3,343,210","988,709","793,399","405,432","18,741,055","18,741,055"
Gender,,,,,,,,
Female,"5,008,027","3,061,786","1,978,012","591,122","478,849","252,097","11,369,893","11,401,449"
Male,"3,165,776","1,899,813","1,341,276","384,410","300,843","145,532","7,237,650","7,240,261"
Blank,"43,024","31,879","23,922","13,177","13,707","7,803","133,512","99,345"
Age,,,,,,,,
18 or Less,"1,233,683","303,597","184,284","83,139","61,122","56,029","1,921,854","1,922,447"
19 through 24,"4,462,034","2,405,734","1,467,303","327,844","246,594","104,318","9,013,827","9,015,717"
25 or Greater,"2,521,110","2,284,147","1,691,623","577,726","485,683","245,085","7,805,374","7,802,891"
Grade Entering,,,,,,,,
"1st Year, Never Attended College Before","2,114,786","891,313","708,132","284,448","244,308","145,742","4,388,729","4,395,359"
"1st Year, Attended College Before","986,991","899,270","744,281","261,589","221,815","108,446","3,222,392","3,321,949"
2nd Year/Sophomore,"1,590,296","1,002,792","588,365","121,107","87,888","35,868","3,426,316","3,445,646"
3rd Year/Junior,"1,400,871","791,487","445,372","95,738","68,322","27,343","2,829,133","2,803,456"
4th Year/Senior,"898,194","487,434","258,009","44,136","28,076","12,340","1,728,189","1,732,549"
5th Year/Other Undergraduate,"326,900","229,572","159,451","38,100","28,027","12,666","794,716","795,610"
1st Year Graduate/Professional,"352,999","243,881","153,652","60,996","51,490","28,620","891,638","882,953"
Continuing Graduate/Professional,"545,713","447,528","285,716","82,441","63,397","34,359","1,459,154","1,362,890"
Blank,77,201,232,154,76,48,788,643
Degree Pursuing,,,,,,,,
1st Bachelor's Degree,"4,921,605","2,188,613","1,226,406","320,667","241,483","117,450","9,016,224","8,988,166"
2nd Bachelor's Degree,"71,017","56,102","39,159","15,405","11,109","5,442","198,234","193,731"
Associate Degree (Occupational or Technical),"745,323","737,190","547,492","164,965","132,633","67,488","2,395,091","2,398,203"
Associate Degree (General Education or Transfer),"888,431","713,380","559,100","151,597","118,586","55,178","2,486,272","2,518,091"
Certificate or Diploma (Less than 2 Years),"211,037","302,555","272,290","120,387","118,211","66,303","1,090,783","1,156,889"
