"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
2013/14 Application Cycle",,,,,,,,
Data Element and Value,Initial Application,,,,,,,Final Transaction
,2013,,,,2014,,Total,Total
,Q1,Q2,Q3,Q4,Q5,Q6+,,
Total (Applicant Count),"8,854,338","5,721,781","3,709,803","1,517,287","916,119","474,425","21,193,753","21,193,753"
Gender,,,,,,,,
Female,"5,379,177","3,482,316","2,172,273","898,085","538,395","289,490","12,759,736","12,775,963"
Male,"3,454,075","2,221,845","1,522,355","610,789","371,204","181,078","8,361,346","8,361,632"
Blank,"21,086","17,620","15,175","8,413","6,520","3,857","72,671","56,158"
Age,,,,,,,,
18 or Less,"1,202,187","327,209","185,685","136,892","81,589","56,506","1,990,068","1,989,515"
19 through 24,"4,672,661","2,722,975","1,605,304","516,688","280,525","126,971","9,925,124","9,926,930"
25 or Greater,"2,979,490","2,671,597","1,918,814","863,707","554,005","290,948","9,278,561","9,277,308"
Grade Entering,,,,,,,,
"1st Year, Never Attended College Before","2,232,356","1,076,070","870,740","529,491","327,058","187,648","5,223,363","5,237,969"
"1st Year, Attended College Before","1,191,668","1,117,485","886,516","421,331","264,754","135,548","4,017,302","4,142,120"
2nd Year/Sophomore,"1,804,459","1,182,837","642,723","165,057","89,397","38,781","3,923,254","3,934,046"
3rd Year/Junior,"1,479,182","880,876","461,100","122,718","68,049","28,475","3,040,400","2,994,757"
4th Year/Senior,"906,867","521,792","252,068","51,077","26,126","10,726","1,768,656","1,767,586"
5th Year/Other Undergraduate,"329,558","243,746","160,570","47,465","26,808","12,121","820,268","813,617"
1st Year Graduate/Professional,"365,862","254,823","160,421","80,167","53,250","28,675","943,198","932,552"
Continuing Graduate/Professional,"544,186","443,895","275,403","99,824","60,589","32,391","1,456,288","1,370,332"
Blank,200,257,262,157,88,60,"1,024",774
Degree Pursuing,,,,,,,,
1st Bachelor's Degree,"5,050,244","2,391,059","1,271,517","441,369","261,977","125,988","9,542,154","9,500,195"
2nd Bachelor's Degree,"76,585","61,379","42,249","20,501","11,228","5,313","217,255","214,242"
Associate Degree (Occupational or Technical),"988,145","964,199","693,194","305,912","179,944","98,558","3,229,952","3,244,050"
Associate Degree (General Education or Transfer),"980,784","811,533","597,754","226,730","123,303","60,145","2,800,249","2,829,869"
Certificate or Diploma (Less than 2 Years),"250,937","381,288","335,037","180,537","148,475","85,017","1,381,291","1,460,745"
Certificate or Diploma (At Least 2 Years),"130,990","126,440","99,695","44,474","23,455","11,953","437,007","437,466"
Teaching Credential (Nondegree),"23,942","19,052","17,206","8,157","5,380","3,375","77,112","75,183"
Graduate or Professional Degree,"898,822","652,135","386,121","149,074","93,323","49,768","2,229,243","2,216,579"
Other/Undecided,"429,575","296,272","250,502","130,120","63,496","31,059","1,201,024","1,141,556"
Blank,"24,314","18,424","16,528","10,413","5,538","3,249","78,466","73,868"
Parent Education Level,,,,,,,,
Neither Parent Completed College or Beyond,"4,139,803","2,894,987","1,992,757","861,351","533,085","282,195","10,704,178","10,709,155"
One Parent Completed College or Beyond,"2,418,262","1,581,806","1,014,559","398,768","230,645","116,823","5,760,863","5,755,511"
Both Parents Completed College or Beyond,"2,296,273","1,244,988","702,487","257,168","152,389","75,407","4,728,712","4,729,087"
Pell Eligibility Status,,,,,,,,
Pell Eligible,"4,772,426","3,294,142","2,228,058","919,227","562,180","304,318","12,080,351","12,865,054"
Pell Ineligible,"4,081,912","2,427,639","1,481,745","598,060","353,939","170,107","9,113,402","8,328,699"
Dependency Status,,,,,,,,
Dependent,"4,846,178","2,266,131","1,228,909","390,013","212,715","102,694","9,046,640","9,131,781"
Independent,"4,008,160","3,455,650","2,480,894","1,127,274","703,404","371,731","12,147,113","12,061,972"
Renewal Application Status,,,,,,,,
Original,"3,703,813","2,446,999","2,020,513","1,156,612","751,242","402,446","10,481,625",N/A
Renewal,"5,150,525","3,274,782","1,689,290","360,675","164,877","71,979","10,712,128",N/A
Source of Application/Correction,,,,,,,,
FAFSA on the Web (FOTW),"8,830,617","5,660,132","3,648,967","1,489,080","891,944","460,625","20,981,365","17,186,697"
Web Financial Aid Administrator (Web FAA),"12,084","38,478","39,924","18,479","17,362","10,079","136,406","1,151,409"
Other Electronic (School Batch),784,"11,984","13,236","4,546","3,824","2,354","36,728","2,729,939"
Paper FAFSA,"10,328","10,772","7,307","4,966","2,893","1,320","37,586","94,240"
FAFSA on the Phone/FSAIC Correction,525,415,369,216,96,47,"1,668","31,468"
Schools Listed,,,,,,,,
Freshmen Filing Original Application: 1 School ,"1,119,274","1,115,561","1,078,009","643,347","445,327","257,715","4,659,233","4,610,659"
Freshmen Filing Original Application: 2 Schools ,"314,805","151,556","102,966","65,042","32,732","15,323","682,424","824,300"
Freshmen Filing Original Application: 3 Schools ,"236,124","72,404","43,900","31,525","14,260","5,700","403,913","418,670"
Freshmen Filing Original Application: 4 Schools ,"189,820","41,208","24,493","20,022","8,938","2,980","287,461","282,145"
Freshmen Filing Original Application: 5 Schools ,"143,353","23,753","13,895","12,679","5,219","1,601","200,500","195,821"
