"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
2010/11 Application Cycle",,,,,,,,
Data Element and Value,Initial Application,,,,,,,Final Transaction
,2010,,,,2011,,Total,Total
,Q1,Q2,Q3,Q4,Q5,Q6+,,
Total (Applicant Count),"8,070,850","5,789,510","3,975,330","1,654,112","1,109,184","517,714","21,116,700","21,116,700"
Gender,,,,,,,,
Female,"4,613,668","3,468,542","2,296,945","952,557","630,202","304,342","12,266,256","12,539,288"
Male,"2,898,993","2,189,534","1,560,143","640,183","428,409","187,441","7,904,703","7,981,271"
Blank,"558,189","131,434","118,242","61,372","50,573","25,931","945,741","596,141"
Age,,,,,,,,
18 or Less,"1,095,524","348,291","197,799","113,804","90,895","59,619","1,905,932","1,905,163"
19 through 24,"4,192,913","2,679,357","1,673,293","569,899","346,726","144,622","9,606,810","9,609,130"
25 or Greater,"2,782,293","2,761,716","2,104,159","970,362","671,528","313,454","9,603,512","9,602,272"
Age Unknown,120,146,79,47,35,19,446,135
Grade Entering,,,,,,,,
"1st Year, Never Attended College Before","2,031,130","1,217,215","1,047,086","607,935","433,853","227,869","5,565,088","5,592,724"
"1st Year, Attended College Before","1,076,955","1,195,633","972,424","456,509","308,428","137,839","4,147,788","4,275,026"
2nd Year/Sophomore,"1,676,303","1,151,685","659,462","182,230","105,211","39,170","3,814,061","3,842,875"
3rd Year/Junior,"1,289,459","799,240","439,315","126,559","77,721","28,806","2,761,100","2,727,084"
4th Year/Senior,"786,427","457,991","230,408","49,535","29,495","11,126","1,564,982","1,567,435"
5th Year/Other Undergraduate,"283,275","225,593","155,992","45,390","29,319","12,442","752,011","760,560"
1st Year Graduate/Professional,"380,052","276,633","179,848","84,242","59,368","29,303","1,009,446","976,471"
Continuing Graduate/Professional,"546,911","464,950","290,271","101,340","65,547","31,023","1,500,042","1,372,843"
Blank,338,570,524,372,242,136,"2,182","1,682"
Degree Pursuing,,,,,,,,
1st Bachelor's Degree,"4,526,126","2,318,875","1,294,794","446,183","298,071","128,700","9,012,749","8,981,715"
2nd Bachelor's Degree,"70,681","60,962","42,945","20,394","12,054","5,455","212,491","209,715"
